11851;1003695;1;02/05/2017
11851;1003695;2;04/05/2017
11851;1003311;1;21/05/2017
11851;1003311;2;28/05/2017
12286;1002974;1;03/06/2017
11632;1003355;1;06/06/2017
10943;1001286;1;06/06/2017
12286;1002974;2;07/06/2017
12478;1003383;1;07/06/2017
11632;1003355;2;09/06/2017
10873;1001901;1;10/06/2017
10873;1001901;2;11/06/2017
10943;1001286;2;11/06/2017
12478;1003383;2;14/06/2017
11851;1003171;1;15/06/2017
10238;1001718;1;18/06/2017
11801;1003776;1;22/06/2017
11851;1003171;2;22/06/2017
10238;1001718;2;25/06/2017
10943;1001203;1;27/06/2017
11632;1003105;1;03/07/2017
14542;1001901;1;04/07/2017
12286;1002763;1;04/07/2017
10943;1001203;2;04/07/2017
11801;1003776;2;04/07/2017
11166;1002336;1;05/07/2017
14044;1000685;1;05/07/2017
10873;1001513;1;05/07/2017
14044;1000685;2;09/07/2017
10873;1001513;2;09/07/2017
11632;1003105;2;10/07/2017
11166;1002336;2;10/07/2017
12286;1002763;2;11/07/2017
12478;1003147;1;11/07/2017
11851;1003155;1;12/07/2017
14542;1001901;2;12/07/2017
11632;1003025;1;13/07/2017
12839;1000991;1;13/07/2017
12044;1002505;1;13/07/2017
13473;1003263;1;14/07/2017
11976;1003436;1;14/07/2017
12478;1003147;2;15/07/2017
14542;1001745;1;15/07/2017
11801;1003638;1;17/07/2017
12839;1000991;2;17/07/2017
15030;1002763;1;19/07/2017
13473;1003263;2;20/07/2017
10238;1001550;1;21/07/2017
11851;1003155;2;22/07/2017
10238;1001550;2;23/07/2017
11869;1003338;1;23/07/2017
12489;1003798;1;25/07/2017
14378;1002535;1;25/07/2017
12489;1003798;2;26/07/2017
11166;1002292;1;26/07/2017
12478;1002900;1;27/07/2017
13232;1000048;1;29/07/2017
10873;1001368;1;29/07/2017
11166;1002292;2;29/07/2017
11869;1003338;2;30/07/2017
10943;1000786;1;30/07/2017
11632;1003025;2;30/07/2017
11851;1003003;1;31/07/2017
11976;1003436;2;01/08/2017
12044;1002505;2;01/08/2017
10943;1000786;2;01/08/2017
14542;1001745;2;01/08/2017
11851;1003003;2;02/08/2017
